From,To,Fastest Train Time
Dortmund hbf,Braunschweig hbf,2 h 21m
Braunschweig hbf,Dortmund hbf,2 h 21m
Dortmund hbf,Ulm hbf,4 h 24m
Ulm hbf,Dortmund hbf,4 h 24m
Dortmund hbf,Münster (Westf) hbf,51m
Münster (Westf) hbf,Dortmund hbf,51m
Dortmund hbf,Rostock hbf,5 h 49m
Rostock hbf,Dortmund hbf,5 h 49m
Leverkusen Mitte,Leipzig hbf,4 h 57m
Leipzig hbf,Leverkusen Mitte,4 h 57m
Leverkusen Mitte,Stuttgart hbf,2 h 25m
Stuttgart hbf,Leverkusen Mitte,2 h 25m
Leverkusen Mitte,Frankfurt hbf,1 h 35m
Frankfurt hbf,Leverkusen Mitte,1 h 35m
Leverkusen Mitte,Freiburg (Breisgau) hbf,3 h 17m
Freiburg (Breisgau) hbf,Leverkusen Mitte,3 h 17m
Leverkusen Mitte,Berlin hbf,4 h 38m
Berlin hbf,Leverkusen Mitte,4 h 38m
Leverkusen Mitte,Sinsheim (Elsenz) hbf,3 h 11m
Sinsheim (Elsenz) hbf,Leverkusen Mitte,3 h 11m
Leverkusen Mitte,Mainz hbf,1 h 52m
Mainz hbf,Leverkusen Mitte,1 h 52m
Leverkusen Mitte,Wolfsburg hbf,3 h 49m
Wolfsburg hbf,Leverkusen Mitte,3 h 49m
Leverkusen Mitte,Mönchengladbach hbf,52m
Mönchengladbach hbf,Leverkusen Mitte,52m
Leverkusen Mitte,Bremen hbf,3 h 4m
Bremen hbf,Leverkusen Mitte,3 h 4m
Leverkusen Mitte,Augsburg hbf,3 h 58m
Augsburg hbf,Leverkusen Mitte,3 h 58m
Leverkusen Mitte,Bochum hbf,1 h 9m
Bochum hbf,Leverkusen Mitte,1 h 9m
Leverkusen Mitte,Hamburg hbf,3 h 45m
Hamburg hbf,Leverkusen Mitte,3 h 45m
Leverkusen Mitte,Kiel hbf,5 h 19m
Kiel hbf,Leverkusen Mitte,5 h 19m
Leverkusen Mitte,Köln hbf,16m
Köln hbf,Leverkusen Mitte,16m
Leverkusen Mitte,Darmstadt hbf,2 h 5m
Darmstadt hbf,Leverkusen Mitte,2 h 5m
Leverkusen Mitte,Düsseldorf hbf,15m
Düsseldorf hbf,Leverkusen Mitte,15m
Leverkusen Mitte,Karlsruhe hbf,2 h 14m
Karlsruhe hbf,Leverkusen Mitte,2 h 14m
Leverkusen Mitte,Hannover hbf,3 h 5m
Hannover hbf,Leverkusen Mitte,3 h 5m
Leverkusen Mitte,Paderborn hbf,2 h 33m
Paderborn hbf,Leverkusen Mitte,2 h 33m
